Constituency,Name,Date
NA-242,syed mustufa kamal,2024-06-25
NA-243,abdul qadir patel,2024-06-25
NA-244,muhammad farooq sattar,2024-06-25
NA-245,syed hafeezuddin,2024-06-25
NA-246,syed amin ul haque,2024-06-25
NA-247,khawaja izhar ul hassan,2024-06-25
NA-248,khalid maqbool siddiqui,2024-06-25
NA-249,ahmed saleem siddiqui,2024-06-25
NA-250,farhan chishti,2024-06-25
NA-252,sardar muhammad yaqoob khan nasir,2024-06-25
NA-253,mian khan,2024-06-25
NA-254,khalid hussain magsi,2024-06-25
NA-255,mir khan muhammad jamali,2024-06-25
NA-257,jam kamal khan,2024-06-25
NA-258,pullain,2024-06-25
NA-259,malik shah,2024-06-25
NA-260,muhammad usman badini,2024-06-25
NA-262,adil khan bazai,2024-06-25
NA-263,haji jamal shah kakar,2024-06-25
NA-264,nawabzada mir jamal khan raisani,2024-06-25
NA-266,mehmood khan achakzai,2024-06-25
