Name,Province,Constituency,Party,Oath Taking Date
Mr. Abdul Qadir Patel,Sindh,NA-243 (Karachi Keamari-II),PPPP,2024-02-29
Dr. Muhammad Farooq Sattar,Sindh,NA-244 (Karachi West-I),MQM,2024-02-29
Syed Hafeezuddin,Sindh,NA-245 (Karachi West-II),MQM,2024-02-29
Syed Amin-ul-Haque,Sindh,NA-246 (Karachi West-III),MQM,2024-02-29
Khawaja Izhar-ul-Hassan,Sindh,NA-247 (Karachi Central-I),MQM,2024-02-29
Dr. Khalid Maqbool Siddiqui,Sindh,NA-248 (Karachi Central-II),MQM,2024-02-29
Mr. Ahmed Saleem Siddiqui,Sindh,NA-249 (Karachi Central-III),MQM,2024-02-29
Mr. Farhan Chishti,Sindh,NA-250 (Karachi Central-IV),MQM,2024-02-29
Sayed Sami Ullah,Balochistan,NA-251 (Sherani-cum-Zhob-cum-Killa Saifullah),JUI (P),2024-02-29
Sardar Muhammad Yaqoob Khan Nasar,Balochistan,NA-252 (Musa Khail-cum-Barkhan-cum-Loralai-cum-Dukki),PML (N),2024-02-29
Mian Khan Bugti,Balochistan,NA-253 (Ziarat-cum-Harnai-cum-Sibi-cum-Kohlu-cum-Dera Bugti),PML (N),2024-02-29
Mr. Khalid Hussain Magsi,Balochistan,NA-254 (Jhal Magsi-cum-Kachhi-cum-Naseerabad),BAP,2024-02-29
Mir Khan Muhammad Jamali,Balochistan,NA-255 (Shobat Pur-cum-Jaffarabad-cum-Usta Muhammad-cum-Naseerabad),PML (N),2024-02-29
Mr. Muhammad Akhtar Mengal,Balochistan,NA-256 (Khuzdar),BNP,2024-02-29
Mr. Jam Kamal Khan,Balochistan,NA-257 (Hub-cum-Lasbela-cum-Awaran),PML (N),2024-03-03
Mr. Pullain,Balochistan,NA-258 (Panjgur-cum-Kech),NP,2024-02-29
Malik Shah,Balochistan,NA-259 (Lech-cum-Gawadar),PPPP,2024-02-29
Mr. Mohammad Usman Badini,Balochistan,NA-260 (Chagai-cum-Nushki-cum-Kharan-cum-Washuk),JUI (P),2024-02-29
Moulana Abdul Ghafoor Haideri,Balochistan,NA-261 (Surab-cum-Kalat-cum-Mastung),JUI (P),2024-02-29
Mr. Adil Khan Bazai,Balochistan,NA-262 (Quetta-I),PML (N),2024-02-29
