Name,Province,Constituency,Party,Oath Taking Date,City,Constituency Type,Country
muhammad shaharyar khan mahar,Sindh,NA-193,PPPP,2024-02-29,Shikarpur,General,Pakistan
bilawal bhutto zardari,Sindh,NA-194,PPPP,2024-02-29,Larkana,General,Pakistan
nazir ahmed bhugio,Sindh,NA-195,PPPP,2024-02-29,Larkana,General,Pakistan
khurshed ahmed junejo,Sindh,NA-196,PPPP,2024-04-29,Kamber Shahdadkot,General,Pakistan
mir amer ali khan magsi,Sindh,NA-197,PPPP,2024-02-29,Kamber Shahdadkot,General,Pakistan
khalid ahmed khan lund,Sindh,NA-198,PPPP,2024-02-29,Ghotki,General,Pakistan
ali gohar khan mahar,Sindh,NA-199,PPPP,2024-02-29,Ghotki,General,Pakistan
nauman islam shaikh,Sindh,NA-200,PPPP,2024-02-29,Sukkur,General,Pakistan
syed khursheed ahmed shah,Sindh,NA-201,PPPP,2024-02-29,Sukkur,General,Pakistan
nafisa shah,Sindh,NA-202,PPPP,2024-02-29,Khairpur,General,Pakistan
pir syed fazal ali shah jillani,Sindh,NA-203,PPPP,2024-02-29,Khairpur,General,Pakistan
syed javed ali shah jillani,Sindh,NA-204,PPPP,2024-02-29,Khairpur,General,Pakistan
syed abrar ali shah,Sindh,NA-205,PPPP,2024-02-29,Naushero Feroze,General,Pakistan
zulfiqar ali behan,Sindh,NA-206,PPPP,2024-02-29,Naushero Feroze,General,Pakistan
aseefa bhutto zardari,Sindh,NA-207,PPPP,2024-04-15,Shaheed Benazirabad,General,Pakistan
syed ghulam mustafa shah,Sindh,NA-208,PPPP,2024-02-29,Shaheed Benazirabad,General,Pakistan
shazia marri,Sindh,NA-209,PPPP,2024-02-29,Sanghar,General,Pakistan
salahuddin junejo,Sindh,NA-210,PPPP,2024-02-29,Sanghar,General,Pakistan
pir aftab hussain shah jilani,Sindh,NA-211,PPPP,2024-02-29,Mirpurkhas,General,Pakistan
mir munawar ali talpur,Sindh,NA-212,PPPP,2024-02-29,Mirpurkhas,General,Pakistan
nawab muhammad yousuf talpur,Sindh,NA-213,PPPP,2024-02-29,Umerkot,General,Pakistan
pir ameer ali shah jeelani,Sindh,NA-214,PPPP,2024-02-29,Tharparkar,General,Pakistan
mahesh kumar malani,Sindh,NA-215,PPPP,2024-02-29,Tharparkar,General,Pakistan
makhdoom jamil uz  zaman,Sindh,NA-216,PPPP,2024-02-29,Matiari,General,Pakistan
zulfiqar sattar bachani,Sindh,NA-217,PPPP,2024-02-29,Tando Allahyar,General,Pakistan
syed hussain tariq,Sindh,NA-218,PPPP,2024-02-29,Hyderabad,General,Pakistan
abdul aleem khan (NA-219),Sindh,NA-219,MQM,2024-02-29,Hyderabad,General,Pakistan
syed waseem hussain,Sindh,NA-220,MQM,2024-02-29,Hyderabad,General,Pakistan
syed naveed qamar,Sindh,NA-221,PPPP,2024-02-29,Tando Muhammad Khan,General,Pakistan
mir ghulam ali talpur,Sindh,NA-222,PPPP,2024-02-29,Badin,General,Pakistan
haji rasool bux chandio,Sindh,NA-223,PPPP,2024-02-29,Badin,General,Pakistan
syed ayaz ali shah sheerazi,Sindh,NA-224,PPPP,2024-02-29,Sujawal,General,Pakistan
sadiq ali memon,Sindh,NA-225,PPPP,2024-02-29,Thatta,General,Pakistan
malik asad sikandar,Sindh,NA-226,PPPP,2024-02-29,Jamshoro,General,Pakistan
irfan ali leghari,Sindh,NA-227,PPPP,2024-02-29,Dadu,General,Pakistan
rafiq ahmed jamali,Sindh,NA-228,PPPP,2024-02-29,Dadu,General,Pakistan
jam abdul karim bijar,Sindh,NA-229,PPPP,2024-02-29,Malir,General,Pakistan
syed rafiullah,Sindh,NA-230,PPPP,2024-02-29,Malir,General,Pakistan
abdul hakeem baloch,Sindh,NA-231,PPPP,2024-02-29,Malir,General,Pakistan
aasia ishaque siddiqui,Sindh,NA-232,MQM,2024-02-29,Korangi Karachi,General,Pakistan
muhammad jawed hanif khan,Sindh,NA-233,MQM,2024-02-29,Korangi Karachi,General,Pakistan
muhammad moin aamer pirzada,Sindh,NA-234,MQM,2024-02-29,Korangi Karachi,General,Pakistan
muhammad iqbal khan (NA-235),Sindh,NA-235,MQM,2024-02-29,Karachi East,General,Pakistan
hassaan sabir,Sindh,NA-236,MQM,2024-02-29,Karachi East,General,Pakistan
